,popgrowthclassimp
E1,0.020298464187036604
E1ent,0.005092548148232817
E2,0.009455177371379063
E2ent,0.00874775489660219
E3,0.006967641845393769
E3ent,0.00688019340509702
E4,0.003493295268115305
E4ent,0.007308395420278307
E5,0.003698877390799802
E5ent,0.006056550496878785
E6,0.0021693168664409057
E6ent,0.005682307094536617
E7,0.0026506761088365156
E7ent,0.010127813010612023
S1,0.003697920922003328
S1ent,0.01371145714766937
S2,0.007096411652429505
S2ent,0.007869774653549166
S3,0.017174310612898053
S3ent,0.007781731913938179
S4,0.02984727430446496
S4ent,0.005638469209007676
S5,0.005909898220173515
S5ent,0.0068112284553703715
S6,0.010821266067356446
S6ent,0.006847691415904108
S7,0.01276265183558827
S7ent,0.007423343957954612
S8,0.011039117045435339
S8ent,0.005537539361310981
S9,0.01070120018858736
S9ent,0.010749656034844133
SE,0.02207946117019587
SEent,0.004198262080038863
cump0,0.03773174627357306
cump1,0.03546601646314426
cump2,0.03274739235089118
cump3,0.03762497837901315
cumpm1,0.010365726056364828
cumpm2,0.010115053630730632
cumpm3,0.010932649304563445
im10,0.01268039789565892
lptot10,0.04395715793764642
lptot10ent,0.0071326052623646
nacent10,0.00667854637445042
ptot10cum,0.03787647816852554
viveu10,0.017258064643329036
x,0.014169883596105626
x0,0.012457725833631984
x1,0.011902465594853065
x2,0.009027543275770232
x3,0.012973677810693904
xm1,0.006167381482358735
xm2,0.006794128617989018
xm3,0.0062559708979245485
xpop,0.007442485415351974
xpop0,0.007576440160611312
xpop1,0.005226330780160169
xpop2,0.0074322409356424425
xpop3,0.007664175627884495
xpopm1,0.008178268544828617
xpopm2,0.009207516983323845
xpopm3,0.00879048925906589
y,0.007966823135217136
y0,0.008091731707454398
y1,0.008052286458769004
y2,0.006644330636457215
y3,0.006993366830251283
ym1,0.007941454191072646
ym2,0.008561587036862718
ym3,0.008866974641143898
ypop,0.025890764983218108
ypop0,0.023757009246253673
ypop1,0.017234221865926377
ypop2,0.018044521972856043
ypop3,0.017664261614057812
ypopm1,0.007822445768663788
ypopm2,0.0066592916815582485
ypopm3,0.008018242312955625
z,0.007472460032238583
z0,0.007248315275058721
z1,0.0066649587054792665
z2,0.006927277591258482
z3,0.007369545057726467
zm1,0.009721245646644073
zm2,0.010212295348535252
zm3,0.008013372944929903
