,firmgrowthclasspred
0,1
1,1
2,1
3,0
4,1
5,1
6,1
7,0
8,0
9,0
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,0
29,1
30,1
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,1
39,0
40,1
41,1
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,1
50,0
51,1
52,0
53,1
54,0
55,1
56,1
57,0
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,0
66,1
67,0
68,0
69,1
70,0
71,1
72,1
73,1
74,1
75,0
76,1
77,0
78,1
79,1
80,0
81,1
82,0
83,1
84,0
85,1
86,0
87,1
88,1
89,0
90,0
91,1
92,1
93,0
94,1
95,0
96,1
97,0
98,1
99,1
100,1
101,0
102,1
103,0
104,0
105,1
106,1
107,0
108,0
109,1
110,1
111,1
112,0
113,1
114,0
115,0
116,1
117,0
118,1
119,1
120,1
121,0
122,0
123,1
124,0
125,1
126,0
127,1
128,0
129,0
130,1
131,1
132,0
133,1
134,0
135,0
136,1
137,0
138,1
139,0
140,1
141,0
142,0
143,1
144,1
145,0
146,0
147,1
148,1
149,0
150,1
151,1
152,0
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,0
162,0
163,0
164,0
165,1
166,1
167,0
168,1
169,0
170,1
171,1
172,1
173,1
174,1
175,1
176,0
177,1
178,1
179,1
180,1
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,1
199,1
200,0
201,0
202,1
203,0
204,0
205,0
206,1
207,1
208,1
209,0
210,0
211,0
212,0
213,0
214,1
215,0
216,1
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,1
225,0
226,1
227,0
228,1
229,1
230,0
231,0
232,0
233,1
234,1
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,1
243,0
244,0
245,1
246,0
247,1
248,0
249,1
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,1
260,0
261,0
262,0
263,0
264,0
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,0
283,0
284,1
285,1
286,0
287,1
288,1
289,0
290,0
291,0
292,1
293,1
294,1
295,0
296,0
297,0
298,1
299,0
300,0
301,0
302,1
303,1
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,1
315,1
316,1
317,0
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,0
354,1
355,0
356,1
357,0
358,1
359,0
360,1
361,1
362,0
363,1
364,0
365,1
366,1
367,1
368,1
369,0
370,0
371,0
372,1
373,0
374,0
375,1
376,1
377,1
378,0
379,0
380,1
381,0
382,0
383,0
384,1
385,0
386,1
387,1
388,1
389,0
390,0
391,0
392,0
393,1
394,1
395,1
396,0
397,1
398,0
399,1
400,1
401,0
402,0
403,1
404,1
405,1
406,0
407,1
408,0
409,0
410,1
411,1
412,0
413,1
414,0
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,0
426,1
427,0
428,0
429,0
430,0
431,1
432,1
433,0
434,0
435,0
436,1
437,0
438,0
439,1
440,1
441,1
442,0
443,0
444,0
445,0
446,0
447,0
448,1
449,1
450,0
451,1
452,0
453,0
454,1
455,0
456,1
457,0
458,1
459,1
460,0
461,0
462,1
463,0
464,1
465,0
466,0
467,1
468,0
469,1
470,0
471,1
472,0
473,1
474,1
475,1
476,1
477,1
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,1
486,0
487,1
488,0
489,0
490,0
491,0
492,1
493,0
494,1
495,0
496,1
497,1
498,1
499,0
500,1
501,0
502,1
503,0
504,0
505,1
506,0
507,1
508,0
509,1
510,0
511,0
512,1
513,1
514,0
515,1
516,1
517,0
518,0
519,1
520,1
521,1
522,1
523,1
524,0
525,0
526,0
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,0
535,0
536,1
537,0
538,1
539,1
540,0
541,0
542,0
543,1
544,0
545,1
546,1
547,1
548,1
549,0
550,0
551,1
552,1
553,1
554,1
555,1
556,0
557,0
558,0
559,0
560,1
561,0
562,0
563,1
564,0
565,1
566,1
567,1
568,0
569,1
570,0
571,0
572,0
573,0
574,1
575,1
576,1
577,1
578,1
579,0
580,1
581,0
582,0
583,1
584,0
585,1
586,0
587,0
588,1
589,1
590,0
591,0
592,0
593,1
594,1
595,0
596,1
597,1
598,1
599,0
600,1
601,0
602,0
603,1
604,1
605,0
606,0
607,1
608,1
609,1
610,0
611,0
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,0
620,0
621,1
622,0
623,1
624,1
625,0
626,1
627,1
628,1
629,0
630,1
631,1
632,0
633,0
634,0
635,1
636,0
637,0
638,1
639,1
640,1
641,0
642,0
643,1
644,1
645,0
646,1
647,0
648,1
649,1
650,1
651,1
652,0
653,0
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,0
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,0
673,1
674,1
675,1
676,1
677,0
678,1
679,1
680,1
681,1
682,0
683,1
684,1
685,1
686,1
687,1
688,1
689,0
690,1
691,1
692,1
693,0
694,1
695,1
696,0
697,1
698,1
699,1
700,1
701,0
702,1
703,1
704,0
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,0
717,1
718,1
719,1
720,1
721,0
722,1
723,1
724,0
725,1
726,0
727,0
728,1
729,1
730,1
731,1
732,0
733,0
734,0
735,1
736,1
737,1
738,0
739,1
740,1
741,1
742,1
743,1
744,0
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,0
754,1
755,1
756,1
757,0
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,0
772,0
773,1
774,0
775,1
776,1
777,1
778,1
779,1
780,0
781,0
782,1
783,0
784,0
785,0
786,1
787,0
788,0
789,1
790,0
791,0
792,1
793,0
794,0
795,1
796,1
797,1
798,0
799,1
800,0
801,1
802,1
803,1
804,1
805,1
806,0
807,0
808,0
809,0
810,1
