,entmun,nacent10,nacotrent10,pob5ymas10,vivotrent10,viveu10
0,1001,75.3,23.5,94.1,4.6,0.9
1,1002,87.5,11.4,95.9,1.7,2.0
2,1003,85.6,11.8,92.8,1.7,5.2
3,1004,89.9,9.2,95.1,2.1,2.4
4,1005,82.2,16.4,93.8,4.0,1.5
5,1006,87.8,11.1,95.8,2.0,1.7
6,1007,91.1,7.6,96.2,1.1,2.1
7,1008,93.9,4.0,94.3,1.2,4.0
8,1009,93.1,5.6,95.4,1.3,2.8
9,1010,92.3,6.4,95.5,1.5,2.5
10,1011,82.4,16.3,93.3,4.0,2.3
11,2001,57.5,39.6,91.0,6.8,1.6
12,2002,63.7,30.7,93.9,3.6,1.7
13,2003,51.9,42.2,90.6,5.8,2.9
14,2004,46.6,47.7,91.0,6.1,2.1
15,2005,45.5,44.5,90.0,5.5,3.4
16,3001,72.8,26.4,94.9,3.8,0.6
17,3002,62.4,36.3,85.4,13.3,0.6
18,3003,69.5,28.3,92.0,7.1,0.6
19,3008,41.2,54.9,75.3,22.6,1.3
20,3009,71.6,25.3,88.1,10.4,0.9
21,4001,92.8,6.6,98.1,1.3,0.0
22,4002,83.5,15.0,95.6,3.6,0.2
23,4003,62.8,31.8,90.2,7.6,0.3
24,4004,77.6,19.2,95.0,3.9,0.7
25,4005,92.9,6.7,98.3,1.2,0.0
26,4006,86.5,12.8,97.4,1.7,0.1
27,4007,76.5,22.9,96.4,3.3,0.1
28,4008,93.8,5.9,98.5,1.0,-6.0
29,4009,70.7,28.5,93.9,4.4,1.3
30,4010,55.4,44.1,93.8,5.1,0.7
31,4011,62.0,36.7,91.6,6.7,1.4
32,5001,94.4,2.6,95.8,1.1,2.9
33,5002,74.6,20.8,95.8,2.4,1.4
34,5003,89.0,6.7,97.3,0.9,1.4
35,5004,90.1,8.6,98.1,1.3,0.1
36,5005,70.9,27.0,91.4,6.9,1.5
37,5006,95.2,3.9,97.3,1.0,1.3
38,5007,94.9,4.6,97.0,1.9,0.5
39,5008,94.6,4.2,95.6,1.2,2.8
40,5009,89.0,10.4,95.6,3.5,0.5
41,5010,92.2,6.9,97.8,1.1,0.6
42,5011,95.1,4.6,98.3,1.2,0.3
43,5012,82.9,8.4,94.7,2.5,2.3
44,5013,34.8,51.7,90.4,8.7,0.8
45,5014,89.3,6.1,96.5,0.8,2.0
46,5015,86.7,9.7,93.4,1.8,4.6
47,5016,95.5,2.9,97.6,-6.0,1.7
48,5017,91.3,7.9,96.9,2.2,0.5
49,5018,90.6,8.0,97.4,1.5,0.5
50,5019,89.7,6.3,97.0,1.0,1.6
51,5020,93.0,5.6,97.3,0.8,0.9
52,5021,95.6,3.9,98.1,0.9,0.7
53,5022,84.3,12.5,96.4,1.8,1.4
54,5023,87.1,11.4,95.1,3.6,0.6
55,5024,93.5,4.9,97.7,1.4,0.2
56,5025,79.0,15.6,95.0,2.7,1.8
57,5026,91.0,7.6,96.7,0.7,1.9
58,5027,79.3,18.8,93.2,5.9,0.4
59,5028,91.3,6.2,97.5,1.0,1.0
60,5029,97.6,2.1,97.4,1.1,0.3
61,5030,82.6,15.4,96.7,2.4,0.2
62,5031,94.4,3.8,97.0,1.0,1.1
63,5032,92.7,4.4,97.7,0.9,1.1
64,5033,93.2,6.2,96.7,2.3,0.6
65,5034,54.4,44.7,88.9,9.7,1.1
66,5035,80.0,17.0,95.4,3.6,0.4
67,5036,87.5,11.9,95.4,3.4,0.4
68,5037,94.2,2.1,97.5,0.1,1.8
69,5038,91.3,5.2,97.1,0.6,2.0
70,6001,71.9,25.5,90.9,4.6,4.3
71,6002,68.7,27.8,90.7,6.8,1.9
72,6003,89.1,9.0,94.7,2.1,3.0
73,6004,80.4,17.0,93.1,3.5,3.2
74,6005,82.7,14.2,94.0,2.9,2.6
75,6006,79.4,17.3,93.5,2.3,3.8
76,6007,60.6,36.6,87.5,10.0,1.6
77,6008,75.4,22.2,92.3,3.5,3.9
78,6009,70.9,27.4,91.6,5.7,2.3
79,6010,69.2,27.5,89.3,8.3,1.9
80,7001,96.7,2.5,96.8,1.7,0.8
81,7002,98.6,1.1,97.8,1.5,0.2
82,7003,94.4,3.5,95.6,2.2,1.4
83,7004,87.9,1.2,98.8,0.7,0.3
84,7005,99.0,0.8,99.1,0.3,0.0
85,7006,97.2,0.6,96.4,0.7,1.6
86,7007,95.7,0.1,99.6,0.1,0.0
87,7008,98.7,0.3,98.5,0.5,0.3
88,7009,93.1,6.5,96.5,2.8,0.5
89,7010,98.5,0.5,97.4,0.7,1.0
