,entmun,firmgrowthclasspred,popgrowthclasspred,firmgrowthclasspred1620,popgrowthclasspred1620,y1,y2,resfirms,respop
0,1001,1,1,1,1,1,1,0,0
1,1002,1,1,1,1,1,0,0,1
2,1003,1,0,1,0,1,0,0,0
3,1004,0,0,1,1,1,0,-1,0
4,1005,1,1,1,1,1,1,0,0
5,1006,1,1,1,1,1,1,0,0
6,1007,1,1,1,1,0,1,1,0
7,1008,0,1,0,0,0,1,0,0
8,1009,0,1,1,1,0,1,0,0
9,1010,0,1,1,1,1,1,-1,0
10,1011,1,1,1,1,1,1,0,0
11,2001,1,1,1,1,1,0,0,1
12,2002,1,1,1,1,1,1,0,0
13,2003,1,1,1,1,1,0,0,1
14,2004,1,1,1,1,1,1,0,0
15,2005,1,1,1,1,1,1,0,0
16,3001,1,0,1,1,1,0,0,0
17,3002,1,0,1,1,1,0,0,0
18,3003,1,1,1,1,1,1,0,0
19,3008,1,1,1,1,1,1,0,0
20,3009,0,1,1,1,1,1,-1,0
21,4001,1,1,1,1,1,1,0,0
22,4002,1,1,1,1,1,1,0,0
23,4003,1,1,1,1,1,1,0,0
24,4004,1,1,1,1,1,1,0,0
25,4005,1,1,1,1,1,1,0,0
26,4006,1,1,1,1,1,1,0,0
27,4007,0,1,0,1,0,1,0,0
28,4008,0,1,1,1,1,1,-1,0
29,4009,1,1,1,1,1,1,0,0
30,4010,1,1,1,1,1,1,0,0
31,4011,1,1,1,1,0,1,1,0
32,5001,0,0,0,0,1,0,-1,0
33,5002,1,1,1,1,1,1,0,0
34,5003,1,0,1,1,0,0,1,0
35,5004,1,0,1,1,1,0,0,0
36,5005,0,0,0,0,0,0,0,0
37,5006,1,1,1,1,0,1,1,0
38,5007,1,0,1,1,0,0,1,0
39,5008,0,0,0,0,1,1,-1,-1
40,5009,1,1,1,1,1,0,0,1
41,5010,1,1,1,1,1,1,0,0
42,5011,0,0,1,1,0,1,0,-1
43,5012,0,0,0,0,0,0,0,0
44,5013,0,0,0,0,0,0,0,0
45,5014,0,0,1,0,0,0,0,0
46,5015,0,0,0,0,0,0,0,0
47,5016,0,0,0,0,0,0,0,0
48,5017,1,1,1,1,1,0,0,1
49,5018,1,1,1,1,0,1,1,0
50,5019,0,0,1,1,0,0,0,0
51,5020,1,1,1,1,1,0,0,1
52,5021,0,0,0,1,0,0,0,0
53,5022,1,1,1,1,1,1,0,0
54,5023,0,0,1,1,0,1,0,-1
55,5024,1,0,1,1,1,0,0,0
56,5025,1,1,1,1,1,1,0,0
57,5026,0,0,0,0,0,0,0,0
58,5027,1,1,1,1,1,1,0,0
59,5028,1,1,1,1,0,0,1,1
60,5029,0,0,0,0,0,0,0,0
61,5030,1,1,1,1,1,1,0,0
62,5031,1,0,1,1,0,1,1,-1
63,5032,1,0,1,1,0,0,1,0
64,5033,1,1,1,1,1,0,0,1
65,5034,0,1,0,1,0,1,0,0
66,5035,1,1,1,1,1,1,0,0
67,5036,0,0,0,1,0,0,0,0
68,5037,0,0,0,0,0,0,0,0
69,5038,1,0,1,0,1,0,0,0
70,6001,0,0,1,0,0,0,0,0
71,6002,1,1,1,1,1,0,0,1
72,6003,1,0,1,0,1,0,0,0
73,6004,1,0,1,0,1,0,0,0
74,6005,1,1,1,1,1,1,0,0
75,6006,0,0,0,0,1,0,-1,0
76,6007,1,1,1,1,1,1,0,0
77,6008,0,1,0,0,0,1,0,0
78,6009,1,1,1,1,1,1,0,0
79,6010,1,1,1,1,0,1,1,0
80,7001,0,1,1,1,1,1,-1,0
81,7002,1,1,1,1,1,1,0,0
82,7003,0,1,1,1,1,0,-1,1
83,7004,1,1,1,1,1,1,0,0
84,7005,0,1,0,1,1,0,-1,1
85,7006,1,1,1,1,1,0,0,1
86,7007,0,1,1,1,1,1,-1,0
87,7008,1,1,1,1,1,1,0,0
88,7009,1,0,1,1,1,0,0,0
89,7010,0,0,0,0,0,0,0,0
90,7011,0,0,1,1,0,0,0,0
91,7012,1,1,1,1,1,1,0,0
92,7013,1,1,1,1,1,1,0,0
93,7014,0,1,1,1,0,1,0,0
94,7015,1,1,1,1,1,0,0,1
95,7016,0,0,0,1,1,0,-1,0
96,7017,1,1,1,1,1,1,0,0
97,7018,0,1,1,1,1,1,-1,0
98,7019,1,1,1,1,1,1,0,0
99,7020,1,1,1,1,1,1,0,0
100,7021,1,1,1,1,1,0,0,1
101,7022,0,1,1,1,1,1,-1,0
102,7023,1,1,1,1,0,1,1,0
103,7024,0,1,1,1,1,1,-1,0
104,7025,0,0,0,1,0,0,0,0
105,7026,1,1,1,1,1,1,0,0
106,7027,1,1,1,1,1,1,0,0
107,7028,0,1,0,0,0,1,0,0
108,7029,0,0,0,1,1,0,-1,0
109,7030,1,1,1,1,1,1,0,0
110,7031,1,1,1,1,1,1,0,0
111,7032,1,1,1,1,1,1,0,0
112,7033,0,1,0,1,1,1,-1,0
113,7034,1,1,1,1,1,1,0,0
114,7035,0,1,0,1,1,1,-1,0
115,7036,0,1,0,1,1,0,-1,1
116,7037,1,1,1,1,1,0,0,1
117,7038,0,1,0,1,1,1,-1,0
118,7039,1,1,1,1,1,0,0,1
119,7040,1,1,1,1,1,1,0,0
120,7041,1,1,1,1,1,1,0,0
121,7042,0,1,0,1,1,1,-1,0
122,7043,0,1,1,1,1,1,-1,0
123,7044,1,1,1,1,1,1,0,0
124,7045,0,0,0,0,0,0,0,0
125,7046,1,1,1,1,1,0,0,1
126,7047,0,1,1,1,0,1,0,0
127,7048,1,1,1,1,0,0,1,1
128,7049,0,1,1,1,1,1,-1,0
129,7050,0,0,0,0,1,0,-1,0
130,7051,1,1,1,1,1,1,0,0
131,7052,1,1,1,1,1,1,0,0
132,7053,0,0,0,0,1,0,-1,0
133,7054,1,1,1,1,0,1,1,0
134,7055,0,0,0,1,1,1,-1,-1
135,7056,0,1,0,1,1,1,-1,0
136,7057,1,1,1,1,1,1,0,0
137,7058,0,0,0,0,0,0,0,0
138,7059,1,1,1,1,1,1,0,0
139,7060,0,1,1,1,0,1,0,0
140,7061,1,1,1,1,1,1,0,0
141,7062,0,1,0,1,0,1,0,0
142,7063,0,0,0,0,1,0,-1,0
143,7064,1,1,1,1,1,1,0,0
144,7065,1,1,1,1,1,1,0,0
145,7066,0,1,1,1,0,1,0,0
146,7067,0,1,0,1,1,1,-1,0
147,7068,1,1,1,1,1,0,0,1
148,7069,1,1,1,1,0,1,1,0
149,7070,0,1,1,1,1,1,-1,0
150,7071,1,1,1,1,1,0,0,1
151,7072,1,1,1,1,0,0,1,1
152,7073,0,1,1,1,1,1,-1,0
153,7074,1,1,1,1,1,1,0,0
